split,nearest_train_similarity_bin,samples,nearest_train_similarity_mean,nearest_same_class_similarity_mean,nearest_different_class_similarity_mean,nearest_train_same_class_fraction,model_accuracy
test,0.00-0.20,84,0.16845826259148972,0.1502577057995257,0.16641607672153486,0.19047619047619047,0.2261904761904762
test,0.20-0.30,819,0.2654077866829941,0.2396614680814947,0.25518887472749485,0.3528693528693529,0.31868131868131866
test,0.30-0.40,1863,0.34668083534532507,0.32089651606765024,0.3187382643221529,0.5152979066022544,0.4449812130971551
test,0.40-0.50,1109,0.44663280530810034,0.4302257645415013,0.33001817676857637,0.8512173128944995,0.7899008115419297
test,0.50-0.60,1168,0.5527389014828695,0.548322395549143,0.3204374510973488,0.978595890410959,0.9366438356164384
test,0.60-0.70,1516,0.6472850598021359,0.6472686944347573,0.31634428358015093,0.9993403693931399,0.9940633245382586
test,0.70-0.80,968,0.7464918838429057,0.7464918838429057,0.30861291090750004,1.0,0.996900826446281
test,0.80-0.90,338,0.8335136936966484,0.8335136936966484,0.30278546138275303,1.0,1.0
test,0.90-1.00,15,0.9119510610898336,0.8635477016369502,0.31194715996583305,0.9333333333333333,0.9333333333333333
validation,0.00-0.20,9,0.18521909912427267,0.1575430797206031,0.18396909866068098,0.1111111111111111,
validation,0.20-0.30,404,0.26785204153839903,0.2369421988651894,0.2624519516040783,0.2400990099009901,
validation,0.30-0.40,1175,0.3490844327845472,0.31618295724087575,0.32586142578023547,0.45617021276595743,
validation,0.40-0.50,1128,0.44819884673289373,0.43771101340175944,0.33452083359320534,0.901595744680851,
validation,0.50-0.60,1386,0.5502560294379748,0.5488613319259358,0.3282172142986267,0.9920634920634921,
validation,0.60-0.70,1775,0.653546928083393,0.6526581545195109,0.3192755552496709,0.9966197183098592,
validation,0.70-0.80,1211,0.7435553156079387,0.7435553156079387,0.3147876810722367,1.0,
validation,0.80-0.90,742,0.8366586458329563,0.8366586458329563,0.3098399038062584,1.0,
validation,0.90-1.00,14,0.9239324373858315,0.9239324373858315,0.32095637917518616,1.0,
