split,samples,fraction,unique_classes,class_id,class_name,fraction_within_split
train,36483,0.6988143352424004,11.0,,,
train,7346,,,0.0,Bromodomain,0.20135405531343364
train,7395,,,1.0,P2X receptor,0.20269714661623223
train,6770,,,2.0,Voltage-gated sodium channel,0.1855658799989036
train,6079,,,3.0,Transient receptor potential channel,0.16662555162678508
train,1765,,,4.0,Protein methyltransferase,0.04837869692733602
train,1774,,,5.0,Serine protease,0.04862538716662555
train,1204,,,6.0,Voltage-gated calcium channel,0.03300167201162185
train,1396,,,7.0,Plant homeodomain,0.038264397116465204
train,1077,,,8.0,Protein Kinase,0.029520598634980674
train,959,,,9.0,Pore-forming toxins (proteins and peptides),0.026286215497629033
train,718,,,10.0,5HT3 receptor,0.019680399089987116
validation,7844,0.15024805102763997,11.0,,,
validation,1547,,,0.0,Bromodomain,0.19722080571137174
validation,1507,,,1.0,P2X receptor,0.19212136664966853
validation,1401,,,2.0,Voltage-gated sodium channel,0.17860785313615501
validation,1277,,,3.0,Transient receptor potential channel,0.16279959204487507
validation,433,,,4.0,Protein methyltransferase,0.05520142784293728
validation,379,,,5.0,Serine protease,0.04831718510963794
validation,372,,,6.0,Voltage-gated calcium channel,0.04742478327383988
validation,314,,,7.0,Plant homeodomain,0.04003059663437022
validation,223,,,8.0,Protein Kinase,0.02842937276899541
validation,220,,,9.0,Pore-forming toxins (proteins and peptides),0.02804691483936767
validation,171,,,10.0,5HT3 receptor,0.021800101988781233
test,7880,0.1509376137299596,11.0,,,
test,1770,,,0.0,Bromodomain,0.22461928934010153
test,1405,,,1.0,P2X receptor,0.1782994923857868
test,1298,,,2.0,Voltage-gated sodium channel,0.16472081218274112
test,1194,,,3.0,Transient receptor potential channel,0.1515228426395939
test,393,,,4.0,Protein methyltransferase,0.04987309644670051
test,376,,,5.0,Serine protease,0.047715736040609136
test,460,,,6.0,Voltage-gated calcium channel,0.0583756345177665
test,311,,,7.0,Plant homeodomain,0.039467005076142134
test,282,,,8.0,Protein Kinase,0.03578680203045685
test,215,,,9.0,Pore-forming toxins (proteins and peptides),0.02728426395939086
test,176,,,10.0,5HT3 receptor,0.02233502538071066
