split,nearest_train_similarity_bin,samples,nearest_train_similarity_mean
test,0.00-0.20,89,0.16917257182551235
test,0.20-0.30,1052,0.2670991252753671
test,0.30-0.35,1523,0.32627438363947525
test,0.35-0.40,1275,0.3731365655917747
test,0.40-0.45,1036,0.4248553643355498
test,0.45-0.50,888,0.4719932057500423
test,0.50-0.55,696,0.5213816592405582
test,0.55-0.60,506,0.5721216136994569
test,0.60-0.70,771,0.6481214335765666
test,0.70-0.75,221,0.7222387801468103
test,0.75-0.80,150,0.7719546250502268
test,0.80-0.90,106,0.8270259285872837
test,0.90-1.00,10,0.9109117209911346
validation,0.00-0.20,4,0.19027676433324814
validation,0.20-0.30,171,0.26077732330525827
validation,0.30-0.35,130,0.3245046267142663
validation,0.35-0.40,110,0.374454508044503
validation,0.40-0.45,129,0.42193282921184866
validation,0.45-0.50,184,0.4737751145401727
validation,0.50-0.55,465,0.526463351326604
validation,0.55-0.60,887,0.576181808345885
validation,0.60-0.70,2520,0.651439810603384
validation,0.70-0.75,1005,0.7245831156844523
validation,0.75-0.80,803,0.7714017874574008
validation,0.80-0.90,974,0.8366156008698857
validation,0.90-1.00,19,0.9213264647283053
