split,true_label_id,true_target_class_l3,samples,nearest_train_similarity_mean,nearest_train_similarity_median,nearest_train_similarity_q25,nearest_train_similarity_q75
test,0,Bromodomain,2461,0.43230983648223636,0.4019607901573181,0.34090909361839294,0.5
test,1,P2X receptor,803,0.4470001673082337,0.4237288236618042,0.34266145527362823,0.5259784162044525
test,2,Voltage-gated sodium channel,1037,0.47948484424512433,0.4736842215061188,0.35820895433425903,0.5789473652839661
test,3,Transient receptor potential channel,1583,0.4608328082514615,0.4482758641242981,0.3454585522413254,0.563858687877655
test,4,Protein methyltransferase,194,0.45019849071029533,0.4213625341653824,0.31922753155231476,0.5956422835588455
test,5,Serine protease,437,0.3784719525881163,0.3478260934352875,0.31521740555763245,0.40163934230804443
test,6,Voltage-gated calcium channel,549,0.43989824448018344,0.38181817531585693,0.3255814015865326,0.5487805008888245
test,7,Plant homeodomain,404,0.410925442371333,0.3959502875804901,0.3298783600330353,0.46502991020679474
test,8,Protein Kinase,149,0.5260953167140884,0.5645161271095276,0.3650793731212616,0.6571428775787354
test,9,Pore-forming toxins (proteins and peptides),390,0.3763412328866812,0.35849952697753906,0.2888889014720917,0.44920142740011215
test,10,5HT3 receptor,316,0.3710714791300176,0.3382737636566162,0.296875,0.4154345691204071
validation,0,Bromodomain,856,0.6487505362308192,0.675000011920929,0.5653677433729172,0.761904776096344
validation,1,P2X receptor,2109,0.7040931610571598,0.720588207244873,0.6363636255264282,0.7966101765632629
validation,2,Voltage-gated sodium channel,1662,0.624044998467112,0.6201265752315521,0.5714285969734192,0.6857143044471741
validation,3,Transient receptor potential channel,888,0.6124703570831198,0.6625000238418579,0.5686160176992416,0.7123287916183472
validation,4,Protein methyltransferase,632,0.7107247937046275,0.7125473618507385,0.6438356041908264,0.8157051354646683
validation,5,Serine protease,318,0.7047867450699117,0.698630154132843,0.6538461446762085,0.7540983557701111
validation,6,Voltage-gated calcium channel,283,0.568191497570213,0.6101694703102112,0.5357215702533722,0.6363636255264282
validation,7,Plant homeodomain,221,0.6089996884311486,0.609375,0.5633803009986877,0.6811594367027283
validation,8,Protein Kinase,356,0.6304909460497706,0.625,0.5810810923576355,0.692307710647583
validation,9,Pore-forming toxins (proteins and peptides),45,0.5139014883173837,0.6129032373428345,0.2874999940395355,0.6721311211585999
validation,10,5HT3 receptor,31,0.3317409354832865,0.3174603283405304,0.26057176291942596,0.3519047647714615
