target_class_l3,final_molecules,mean_max_pchembl,median_max_pchembl,mean_activity_records_for_label,mean_unique_targets_for_label
Bromodomain,10663,6.974903873206414,7.02,2.126324674106724,1.3301134765075495
P2X receptor,10307,7.2916124963616955,7.3,2.2655476860386146,1.1726011448530125
Voltage-gated sodium channel,9469,6.721267293272785,6.66,1.6022811278910127,1.2492343436476925
Transient receptor potential channel,8550,7.103998830409357,7.1,1.6066666666666667,1.1497076023391812
Protein methyltransferase,2591,7.557329216518719,7.65,1.6406792744114242,1.0895407178695484
Serine protease,2529,7.065543693159351,7.04,1.2404112297350731,1.018979833926453
Voltage-gated calcium channel,2036,6.616581532416503,6.5,1.556483300589391,1.368860510805501
Plant homeodomain,2021,6.790529440870856,6.44,2.6091044037605147,1.301335972290945
Protein Kinase,1582,7.219140328697851,7.365,1.1017699115044248,1.0094816687737043
Pore-forming toxins (proteins and peptides),1394,6.59025824964132,6.64,1.3242467718794835,1.0566714490674318
5HT3 receptor,1065,7.353849765258216,7.33,1.4215962441314554,1.0544600938967137
