metric,value
activity_records,1883939.0
unique_molecules,884326.0
unique_molecule_chembl_ids,884326.0
unique_targets,7260.0
unique_target_chembl_ids,7260.0
unique_standard_types,4.0
mean_pchembl_value,7.054857938606292
median_pchembl_value,7.0
min_pchembl_value,5.0
max_pchembl_value,12.46
unique_target_class_l1,13.0
non_null_target_class_l1,138734.0
unique_target_class_l2,26.0
non_null_target_class_l2,372916.0
unique_target_class_l3,42.0
non_null_target_class_l3,103736.0
unique_target_class_l4,119.0
non_null_target_class_l4,200763.0
unique_target_class_l5,285.0
non_null_target_class_l5,1080048.0
