unseen_target_class_l3,unseen_molecules,top1_known_class_by_tanimoto,top1_median_nearest_tanimoto,top1_mean_nearest_tanimoto,top1_fraction_ge_0_40,top1_fraction_ge_0_50,top2_known_class_by_tanimoto,top2_median_nearest_tanimoto,top2_mean_nearest_tanimoto,top2_fraction_ge_0_40,top2_fraction_ge_0_50,top3_known_class_by_tanimoto,top3_median_nearest_tanimoto,top3_mean_nearest_tanimoto,top3_fraction_ge_0_40,top3_fraction_ge_0_50
Smoothened receptor (frizzled family GPCR),954,Transient receptor potential channel,0.3243243098258972,0.3302132785320282,0.11635220125786164,0.008385744234800839,P2X receptor,0.3076923191547394,0.3141777217388153,0.0649895178197065,0.005241090146750524,Bromodomain,0.2978723347187042,0.3036431074142456,0.023060796645702306,0.0
GABA-A receptor,939,Voltage-gated sodium channel,0.3214285671710968,0.3137786090373993,0.05324813631522897,0.0,Transient receptor potential channel,0.30000001192092896,0.3026560842990875,0.0308839190628328,0.002129925452609159,Bromodomain,0.2985074520111084,0.2993597388267517,0.03194888178913738,0.004259850905218318
Endoplasmic reticular retrotranslocon family,591,Transient receptor potential channel,0.2906976640224457,0.29638636112213135,0.050761421319796954,0.00338409475465313,Bromodomain,0.28947368264198303,0.2933479845523834,0.005076142131979695,0.001692047377326565,P2X receptor,0.2702702581882477,0.27485984563827515,0.001692047377326565,0.0
Taste receptor (taste family GPCR),477,Bromodomain,0.3164556920528412,0.3204522430896759,0.06079664570230608,0.0020964360587002098,P2X receptor,0.3086419701576233,0.3138059973716736,0.05241090146750524,0.0020964360587002098,Voltage-gated sodium channel,0.3086419701576233,0.30791181325912476,0.016771488469601678,0.0
Protein-glutamine glutamyl-transferase,471,Transient receptor potential channel,0.31481480598449707,0.3236028254032135,0.14437367303609341,0.025477707006369428,Bromodomain,0.30612245202064514,0.3090108335018158,0.06157112526539278,0.016985138004246284,Serine protease,0.29729729890823364,0.29090210795402527,0.036093418259023353,0.0
DNA methyltransferase,293,Bromodomain,0.29133859276771545,0.3047265410423279,0.06484641638225255,0.023890784982935155,Transient receptor potential channel,0.28205129504203796,0.2978409230709076,0.08532423208191127,0.013651877133105802,P2X receptor,0.2738095223903656,0.29374563694000244,0.09897610921501707,0.040955631399317405
Aspartic protease,241,Transient receptor potential channel,0.2786885201931,0.27872931957244873,0.008298755186721992,0.0,Voltage-gated calcium channel,0.2689075767993927,0.270322322845459,0.004149377593360996,0.0,Voltage-gated sodium channel,0.2626262605190277,0.2613827586174011,0.0,0.0
Protein kinase regulatory subunit,224,Bromodomain,0.26983147859573364,0.28109994530677795,0.013392857142857142,0.0,Protein Kinase,0.25581395626068115,0.2728309631347656,0.049107142857142856,0.03125,Transient receptor potential channel,0.2529428005218506,0.2573080360889435,0.004464285714285714,0.0
Cysteine protease,175,Transient receptor potential channel,0.30000001192092896,0.30690115690231323,0.10285714285714286,0.017142857142857144,Bromodomain,0.2982456088066101,0.3103945553302765,0.08,0.005714285714285714,P2X receptor,0.29729729890823364,0.29791459441185,0.07428571428571429,0.0
YEATS domain,145,Transient receptor potential channel,0.3499999940395355,0.35763469338417053,0.1724137931034483,0.041379310344827586,Voltage-gated calcium channel,0.3333333432674408,0.3361324965953827,0.1310344827586207,0.027586206896551724,Bromodomain,0.3176470696926117,0.3231876790523529,0.034482758620689655,0.006896551724137931
Ryanodine receptor,124,Transient receptor potential channel,0.302173912525177,0.2980501651763916,0.08870967741935484,0.0,Voltage-gated calcium channel,0.2960354685783386,0.3473608195781708,0.31451612903225806,0.20967741935483872,Plant homeodomain,0.2768442630767822,0.25865137577056885,0.0,0.0
