unseen_target_class_l3,models_compared,unique_top1_softmax_classes,unique_top1_centroid_classes,v1_random_top1_softmax,v1_random_top1_softmax_probability,v1_random_top1_centroid_cosine,v1_random_top1_centroid_cosine_similarity,v1_random_mean_entropy,v2_scaffold_top1_softmax,v2_scaffold_top1_softmax_probability,v2_scaffold_top1_centroid_cosine,v2_scaffold_top1_centroid_cosine_similarity,v2_scaffold_mean_entropy,v3_cluster_top1_softmax,v3_cluster_top1_softmax_probability,v3_cluster_top1_centroid_cosine,v3_cluster_top1_centroid_cosine_similarity,v3_cluster_mean_entropy,v4_controlled_similarity_top1_softmax,v4_controlled_similarity_top1_softmax_probability,v4_controlled_similarity_top1_centroid_cosine,v4_controlled_similarity_top1_centroid_cosine_similarity,v4_controlled_similarity_mean_entropy
Aspartic protease,4,1,1,Voltage-gated calcium channel,0.3104257881641388,Voltage-gated calcium channel,0.7988588809967041,0.46358728408813477,Voltage-gated calcium channel,0.3321624994277954,Voltage-gated calcium channel,0.8287389278411865,0.36935529112815857,Voltage-gated calcium channel,0.3445742130279541,Voltage-gated calcium channel,0.8756815195083618,0.35415536165237427,Voltage-gated calcium channel,0.3590223789215088,Voltage-gated calcium channel,0.881869912147522,0.3415957987308502
Cysteine protease,4,1,1,Transient receptor potential channel,0.44034823775291443,Transient receptor potential channel,0.8111905455589294,0.3537676930427551,Transient receptor potential channel,0.4804845452308655,Transient receptor potential channel,0.8214460611343384,0.3676101267337799,Transient receptor potential channel,0.3895568549633026,Transient receptor potential channel,0.7504030466079712,0.6052617430686951,Transient receptor potential channel,0.41409727931022644,Transient receptor potential channel,0.7619803547859192,0.5683061480522156
DNA methyltransferase,4,1,1,Protein methyltransferase,0.2581225335597992,Protein methyltransferase,0.7331740856170654,0.4730023443698883,Protein methyltransferase,0.2676945626735687,Protein methyltransferase,0.7756314277648926,0.49668562412261963,Protein methyltransferase,0.23688040673732758,Protein methyltransferase,0.7023919820785522,0.6054584383964539,Protein methyltransferase,0.2380957007408142,Protein methyltransferase,0.6961193680763245,0.5809652805328369
Endoplasmic reticular retrotranslocon family,4,2,2,Bromodomain,0.3004297912120819,Voltage-gated calcium channel,0.68623286485672,0.5139082074165344,Bromodomain,0.28939202427864075,Transient receptor potential channel,0.6381480693817139,0.7226618528366089,Transient receptor potential channel,0.3164972960948944,Transient receptor potential channel,0.7484690546989441,0.8300690054893494,Transient receptor potential channel,0.3128858506679535,Transient receptor potential channel,0.7436790466308594,0.7809147238731384
GABA-A receptor,4,1,1,Voltage-gated sodium channel,0.407313734292984,Voltage-gated sodium channel,0.7017549276351929,0.4626776874065399,Voltage-gated sodium channel,0.47408679127693176,Voltage-gated sodium channel,0.7561874389648438,0.4765675663948059,Voltage-gated sodium channel,0.4251401126384735,Voltage-gated sodium channel,0.710532546043396,0.5565241575241089,Voltage-gated sodium channel,0.4676440358161926,Voltage-gated sodium channel,0.7412911653518677,0.4915250837802887
Protein kinase regulatory subunit,4,1,1,Protein Kinase,0.5264617800712585,Protein Kinase,0.8572912216186523,0.4920249581336975,Protein Kinase,0.6147053837776184,Protein Kinase,0.9153234958648682,0.40395525097846985,Protein Kinase,0.361765593290329,Protein Kinase,0.8224799633026123,0.7525416016578674,Protein Kinase,0.39159008860588074,Protein Kinase,0.8270471096038818,0.71772700548172
Protein-glutamine glutamyl-transferase,4,1,1,Transient receptor potential channel,0.25765347480773926,Transient receptor potential channel,0.6784224510192871,0.4993867874145508,Transient receptor potential channel,0.2923455238342285,Transient receptor potential channel,0.6833354830741882,0.5320726037025452,Transient receptor potential channel,0.35034024715423584,Transient receptor potential channel,0.7419604659080505,0.7117956280708313,Transient receptor potential channel,0.3553217947483063,Transient receptor potential channel,0.7468564510345459,0.6714900135993958
Ryanodine receptor,4,2,2,Transient receptor potential channel,0.43050265312194824,Transient receptor potential channel,0.7938207387924194,0.4821397066116333,Transient receptor potential channel,0.42684873938560486,Transient receptor potential channel,0.7882031798362732,0.44712093472480774,Bromodomain,0.22318235039710999,Voltage-gated calcium channel,0.6584392786026001,0.8309218883514404,Bromodomain,0.2431066483259201,Voltage-gated calcium channel,0.6562134027481079,0.7955806851387024
Smoothened receptor (frizzled family GPCR),4,1,1,Transient receptor potential channel,0.3499302268028259,Transient receptor potential channel,0.761709451675415,0.5118514895439148,Transient receptor potential channel,0.3106890916824341,Transient receptor potential channel,0.7401785254478455,0.5701671838760376,Transient receptor potential channel,0.4574219584465027,Transient receptor potential channel,0.8174985647201538,0.6112739443778992,Transient receptor potential channel,0.45736292004585266,Transient receptor potential channel,0.8128782510757446,0.5907050967216492
Taste receptor (taste family GPCR),4,1,2,Bromodomain,0.4880249798297882,Bromodomain,0.7325353622436523,0.27470818161964417,Bromodomain,0.4819098114967346,Bromodomain,0.7067438960075378,0.3206082582473755,Bromodomain,0.25589609146118164,Voltage-gated calcium channel,0.7208369970321655,0.7263104319572449,Bromodomain,0.30972158908843994,Voltage-gated calcium channel,0.6869728565216064,0.6874004602432251
YEATS domain,4,2,2,Protein methyltransferase,0.27564236521720886,Voltage-gated calcium channel,0.6959454417228699,0.5344423651695251,Protein methyltransferase,0.27273795008659363,Protein methyltransferase,0.6886370182037354,0.6217824816703796,Voltage-gated calcium channel,0.32586103677749634,Voltage-gated calcium channel,0.7846260666847229,0.8036041259765625,Voltage-gated calcium channel,0.3841695189476013,Voltage-gated calcium channel,0.8076050281524658,0.680611789226532
